,Unnamed: 0,algorithm,num_nodes,ratio_fraction,domain_size,sample_size,trial,time,equiv,precision,recall,f1,pure,structural
199,199,GHC,5,1.3,2,250,1,0.0088467597961425,False,1.0,0.5,0.6666666666666666,2,2
200,200,FCI,5,1.3,2,250,1,0.0008308887481689,False,1.0,0.5,0.6666666666666666,2,2
201,201,MIIC,5,1.3,2,250,2,0.0014169216156005,False,1.0,0.5,0.6666666666666666,2,3
202,202,GHC,5,1.3,2,250,2,0.009305715560913,False,1.0,0.75,0.8571428571428571,1,1
203,203,FCI,5,1.3,2,250,2,0.0008249282836914,False,1.0,0.5,0.6666666666666666,2,3
204,204,MIIC,5,1.3,2,250,3,0.0014190673828125,False,1.0,0.5,0.6666666666666666,3,6
205,205,GHC,5,1.3,2,250,3,0.0106103420257568,False,0.8,0.6666666666666666,0.7272727272727272,3,5
206,206,FCI,5,1.3,2,250,3,0.0011630058288574,False,1.0,0.3333333333333333,0.5,4,6
207,207,MIIC,5,1.3,2,250,4,0.0014500617980957,False,1.0,0.6,0.7499999999999999,2,3
208,208,GHC,5,1.3,2,250,4,0.00938081741333,False,1.0,0.6,0.7499999999999999,2,3
209,209,FCI,5,1.3,2,250,4,0.0009682178497314,False,0.0,0.0,0.0,0,0
210,210,MIIC,5,1.3,2,500,0,0.0015628337860107,False,1.0,0.75,0.8571428571428571,1,1
211,211,GHC,5,1.3,2,500,0,0.0094439983367919,False,1.0,0.75,0.8571428571428571,1,1
212,212,FCI,5,1.3,2,500,0,0.0012271404266357,False,0.0,0.0,0.0,0,0
213,213,MIIC,5,1.3,2,500,1,0.0017120838165283,False,1.0,0.6,0.7499999999999999,2,2
214,214,GHC,5,1.3,2,500,1,0.0092628002166748,False,1.0,0.6,0.7499999999999999,2,2
215,215,FCI,5,1.3,2,500,1,0.0016419887542724,False,0.0,0.0,0.0,0,0
216,216,MIIC,5,1.3,2,500,2,0.0026121139526367,False,1.0,1.0,1.0,0,4
217,217,GHC,5,1.3,2,500,2,0.0113379955291748,False,1.0,1.0,1.0,0,0
218,218,FCI,5,1.3,2,500,2,0.0043802261352539,False,0.0,0.0,0.0,0,0
219,219,MIIC,5,1.3,2,500,3,0.0014510154724121,False,1.0,0.4,0.5714285714285715,3,3
220,220,GHC,5,1.3,2,500,3,0.0089080333709716,False,1.0,0.4,0.5714285714285715,3,3
221,221,FCI,5,1.3,2,500,3,0.000885009765625,False,1.0,0.4,0.5714285714285715,3,3
222,222,MIIC,5,1.3,2,500,4,0.0014452934265136,False,1.0,0.6,0.7499999999999999,2,2
223,223,GHC,5,1.3,2,500,4,0.0092606544494628,False,1.0,0.6,0.7499999999999999,2,2
224,224,FCI,5,1.3,2,500,4,0.0012562274932861,False,0.0,0.0,0.0,0,0
